,BVP_1
1165,-5.4
1166,-9.35
1167,-13.67
1168,-18.48
1169,-23.75
1170,-29.55
1171,-36.01
1172,-43.02
1173,-49.94
1174,-55.38
1175,-57.5
1176,-54.59
1177,-45.9
1178,-32.06
1179,-15.05
1180,2.52
1181,18.24
1182,30.67
1183,39.42
1184,44.82
1185,47.43
1186,47.6
1187,45.54
1188,41.54
1189,36.25
1190,30.79
1191,26.36
1192,23.8
1193,23.25
1194,24.07
1195,25.16
1196,25.49
1197,24.49
1198,22.24
1199,19.26
1200,16.13
1201,13.09
1202,9.97
1203,6.27
1204,1.52
1205,-4.35
1206,-10.91
1207,-17.37
1208,-22.92
1209,-27.09
1210,-29.97
1211,-32.16
1212,-34.52
1213,-37.83
1214,-42.56
1215,-48.69
1216,-55.68
1217,-62.43
1218,-67.48
1219,-69.25
1220,-66.43
1221,-58.46
1222,-45.75
1223,-29.67
1224,-12.13
1225,4.88
1226,19.83
1227,31.82
1228,40.53
1229,45.95
1230,48.2
1231,47.55
1232,44.52
1233,39.95
1234,34.96
1235,30.64
1236,27.75
1237,26.49
1238,26.55
1239,27.25
1240,27.86
1241,27.84
1242,26.91
1243,25.05
1244,22.39
1245,19.08
1246,15.25
1247,10.94
1248,6.12
1249,0.8
1250,-4.96
1251,-10.95
1252,-16.81
1253,-22.14
1254,-26.63
1255,-30.26
1256,-33.26
1257,-36.18
1258,-39.72
1259,-44.51
1260,-50.9
1261,-58.57
1262,-66.39
1263,-72.5
1264,-74.71
1265,-71.25
1266,-61.47
1267,-46.21
1268,-27.6
1269,-8.32
1270,9.24
1271,23.69
1272,34.66
1273,42.45
1274,47.46
1275,49.82
1276,49.54
1277,46.76
1278,42.21
1279,37.14
1280,32.97
1281,30.73
1282,30.6
1283,31.87
1284,33.3
1285,33.71
1286,32.5
1287,29.78
1288,26.22
1289,22.56
1290,19.15
1291,15.84
1292,12.13
1293,7.5
1294,1.8
1295,-4.64
1296,-11.08
1297,-16.77
1298,-21.26
1299,-24.56
1300,-27.14
1301,-29.71
1302,-32.9
1303,-37.15
1304,-42.63
1305,-49.15
1306,-56.16
1307,-62.62
1308,-67.06
1309,-67.79
1310,-63.41
1311,-53.32
1312,-38.14
1313,-19.66
1314,-0.34
1315,17.39
1316,31.82
1317,42.2
1318,48.68
1319,51.85
1320,52.4
1321,50.87
1322,47.76
1323,43.68
1324,39.39
1325,35.82
1326,33.66
1327,33.17
1328,34.01
1329,35.31
1330,36.07
1331,35.5
1332,33.4
1333,30.04
1334,26.09
1335,22.11
1336,18.35
1337,14.59
1338,10.37
1339,5.29
1340,-0.72
1341,-7.21
1342,-13.46
1343,-18.72
1344,-22.63
1345,-25.37
1346,-27.66
1347,-30.45
1348,-34.57
1349,-40.44
1350,-47.83
1351,-55.93
1352,-63.39
1353,-68.59
1354,-70.01
1355,-66.58
1356,-57.96
1357,-44.72
1358,-28.23
1359,-10.35
1360,7
1361,22.23
1362,34.22
1363,42.38
1364,46.57
1365,47.05
1366,44.48
1367,39.84
1368,34.38
1369,29.31
1370,25.51
1371,23.32
1372,22.55
1373,22.67
1374,23.01
1375,23.08
1376,22.62
1377,21.55
1378,19.85
1379,17.41
1380,14.1
1381,9.8
1382,4.54
1383,-1.39
1384,-7.5
1385,-13.24
1386,-18.16
1387,-22.12
1388,-25.28
1389,-28.06
1390,-30.96
1391,-34.46
1392,-38.92
1393,-44.47
1394,-50.98
1395,-57.79
1396,-63.68
1397,-66.95
1398,-65.83
1399,-59.13
1400,-46.75
1401,-29.93
1402,-10.9
1403,7.76
1404,23.89
1405,36.24
1406,44.54
1407,49.14
1408,50.68
1409,49.73
1410,46.85
1411,42.62
1412,37.8
1413,33.26
1414,29.8
1415,27.82
1416,27.22
1417,27.4
1418,27.54
1419,26.94
1420,25.25
1421,22.53
1422,19.08
1423,15.17
1424,10.88
1425,6.09
1426,0.65
1427,-5.43
1428,-11.87
1429,-18.18
1430,-23.85
1431,-28.61
1432,-32.52
1433,-36.06
1434,-39.96
1435,-44.96
1436,-51.43
1437,-59.01
1438,-66.41
1439,-71.61
